Part Number,Condition,Low Price,Avg. Price,High Price,Total Quantity,Hits Day,HIts Week,Hits Month,Normalized_Quantity,Normalized_Searches,Market Attractiveness,Market Attractiveness Category
ASR-920-4SZ-A,REF,2800.0,2800.0,2800.0,2,20,150,663,4.000160006400256e-05,0.38636363636363635,0.6931618173817862,Moderate Attractiveness
WS-C3850-48P-S V01 CONFIG-1,REF,749.0,749.0,749.0,1,27,137,661,0.0,0.38519813519813517,0.6925990675990676,Moderate Attractiveness
WS-C3850-48P-S V01 CONFIG-2,REF,779.0,779.0,779.0,1,27,137,661,0.0,0.38519813519813517,0.6925990675990676,Moderate Attractiveness
WS-C3850-48P-S V04 CONFIG-2,REF,799.0,799.0,799.0,21,27,137,661,0.0008000320012800513,0.38519813519813517,0.6921990515984275,Moderate Attractiveness
MR33-HW,REF,70.0,70.0,70.0,1,29,159,659,0.0,0.38403263403263405,0.692016317016317,Moderate Attractiveness
C2960X-STACK=,REF,115.0,181.0,247.0,13,14,154,658,0.00048001920076803077,0.38344988344988346,0.6914849321245577,Moderate Attractiveness
ASR1002X-10G-K9,REF,8500.0,8500.0,8500.0,2,11,104,650,4.000160006400256e-05,0.3787878787878788,0.6893739385939074,Moderate Attractiveness
ASR920-4SZ-A,REF,2400.0,2400.0,2400.0,2,19,146,646,4.000160006400256e-05,0.3764568764568765,0.6882084374284062,Moderate Attractiveness
WS-C2960X-48LPD-L=,REF,925.0,925.0,925.0,1,17,155,636,0.0,0.3706293706293706,0.6853146853146853,Moderate Attractiveness
SFP-10G-LRM-RF,REF,631.2,631.2,631.2,27,27,117,635,0.0010400416016640665,0.37004662004662003,0.684503289222478,Moderate Attractiveness
C2960X-STACK,REF,55.0,114.16,150.0,197,13,148,634,0.007840313612544501,0.36946386946386944,0.6808117779256625,Moderate Attractiveness
ASR1002X-20G-K9,REF,9000.0,9000.0,9000.0,2,8,101,632,4.000160006400256e-05,0.3682983682983683,0.6841291833491522,Moderate Attractiveness
ASR1002X-5G-K9,REF,6000.0,6750.0,7500.0,3,12,102,631,8.000320012800511e-05,0.3677156177156177,0.6838178072577449,Moderate Attractiveness
